Year,Level Code,Division,End-of-Year Average Daily Membership,School-Level Expenditures Per-Pupil Federal,School-Level Expenditures Per-Pupil State,School-Level Expenditures Per-Pupil Subtotal,Division-Level Expenditures Per-Pupil Federal,Division-Level Expenditures Per-Pupil State,Division-Level Expenditures Per-Pupil Subtotal,Total Per-Pupil Expenditures,Per-Pupil Exclusions,Total Expenditures,Per-Pupil Federal Funds,Per-Pupil State Funds
2019 - 2020,DIV,Poquoson City Public Schools,2134.69,375,7256,7631,109,2813,2922,10553,1910819,22528177,484,10069
2019 - 2020,DIV,Portsmouth City Public Schools,13886.6,568,7528,8096,344,2830,3174,11270,17094412,156497285,912,10358
2019 - 2020,DIV,Powhatan County Public Schools,4296.81,253,7294,7548,29,3189,3218,10765,1718059,46257211,282,10483
2019 - 2020,DIV,Prince Edward County Public Schools,2028.48,862,7316,8178,0,2972,2972,11150,3171151,22618243,862,10288
2019 - 2020,DIV,Prince George County Public Schools,6266.77,527,6710,7237,410,2525,2935,10172,6516109,63745839,937,9235
2019 - 2020,DIV,Prince William County Public Schools,91825.83,157,7419,7576,282,3605,3887,11462,332583832,1052547490,439,11024
2019 - 2020,DIV,Pulaski County Public Schools,4124.1,556,6878,7435,21,3315,3336,10771,4593059,44419802,577,10193
2019 - 2020,DIV,Radford City Public Schools,1639.4,419,9078,9496,70,1586,1656,11152,1541395,18282232,489,10664
2019 - 2020,DIV,Rappahannock County Public Schools,775.08,476,10803,11279,133,4313,4447,15726,899576,12188885,609,15116
2019 - 2020,DIV,Richmond City Public Schools,24707.99,446,7942,8388,1015,4314,5328,13716,43506630,338906343,1461,12256
2019 - 2020,DIV,Richmond County Public Schools,1301.3,611,6473,7085,2,3313,3315,10399,2369375,13532697,613,9786
2019 - 2020,DIV,Roanoke City Public Schools,13845.9,817,7671,8488,58,3487,3545,12033,34063631,166610956,875,11158
2019 - 2020,DIV,Roanoke County Public Schools,13901.73,287,7741,8029,56,2583,2639,10667,45173239,148294119,343,10324
2019 - 2020,DIV,Rockbridge County Public Schools,2757.95,580,7650,8229,127,3682,3809,12038,5914533,33201009,707,11332
2019 - 2020,DIV,Rockingham County Public Schools,11855.67,364,7095,7459,49,3490,3539,10998,24418261,130390489,413,10585
2019 - 2020,DIV,Russell County Public Schools,3713.24,885,7050,7935,32,2441,2473,10407,6943691,38645465,917,9491
2019 - 2020,DIV,Salem City Public Schools,3912.89,358,7492,7850,8,2821,2829,10679,9193192,41786845,366,10313
2019 - 2020,DIV,Scott County Public Schools,3513.67,741,7844,8585,6,1474,1480,10066,4544166,35366981,747,9318
2019 - 2020,DIV,Shenandoah County Public Schools,5934.6,489,8039,8529,48,2959,3007,11536,6640820,68458723,537,10998
2019 - 2020,DIV,Smyth County Public Schools,4231.18,986,6752,7738,37,2449,2486,10224,8526373,43257859,1023,9201
2019 - 2020,DIV,Southampton County Public Schools,2749.9,376,6357,6733,132,3954,4085,10819,6899031,29750312,508,10311
2019 - 2020,DIV,Spotsylvania County Public Schools,23756.85,274,7104,7378,135,3352,3487,10865,65809838,258115853,409,10456
2019 - 2020,DIV,Stafford County Public Schools,30024.95,363,7079,7442,44,2803,2847,10288,34849994,308910541,407,9882
2019 - 2020,DIV,Staunton City Public Schools,2710.08,266,7421,7687,0,3508,3508,11195,43031284,30338750,266,10929
2019 - 2020,DIV,Suffolk City Public Schools,14317.15,429,6484,6913,80,3563,3643,10556,32656313,151129531,509,10047
2019 - 2020,DIV,Surry County Public Schools,709.76,891,12768,13659,84,7099,7183,20841,790147,14792387,975,19867
2019 - 2020,DIV,Sussex County Public Schools,1070.67,140,1716,1857,692,13788,14481,16337,1488312,17491970,832,15504
2019 - 2020,DIV,Tazewell County Public Schools,5565.48,579,5890,6469,109,2631,2740,9209,7013057,51252964,688,8521
2019 - 2020,DIV,Virginia Beach City Public Schools,68451.72,634,10768,11402,0,0,0,11402,129891010,780472859,634,10768
2019 - 2020,DIV,Warren County Public Schools,5354.78,340,7877,8217,0,2406,2406,10623,5025379,56883902,340,10283
2019 - 2020,DIV,Washington County Public Schools,6995.56,559,8109,8668,34,1751,1785,10453,7868105,73124658,593,9860
2019 - 2020,DIV,Waynesboro City Public Schools,2926.21,528,7446,7974,184,3091,3275,11249,5004061,32916458,712,10537
2019 - 2020,DIV,West Point Public Schools,805.49,380,9430,9809,0,2941,2941,12750,672986,10270345,380,12371
2019 - 2020,DIV,Westmoreland County Public Schools,1572.76,822,9735,10556,63,3278,3342,13898,2582367,21857999,885,13013
2019 - 2020,DIV,Williamsburg-James City County Public Schools,11591.44,255,7801,8055,79,3898,3978,12033,8770866,139478068,334,11699
2019 - 2020,DIV,Winchester City Public Schools,4363.82,478,9029,9506,226,3291,3517,13023,9014382,56830535,704,12320
2019 - 2020,DIV,Wise County Public Schools,5591.58,521,6303,6824,89,2951,3040,9864,8712383,55155174,610,9254
2019 - 2020,DIV,Wythe County Public Schools,3978.72,439,6789,7228,0,3089,3089,10317,9910084,41046700,439,9878
2019 - 2020,DIV,York County Public Schools,13035.43,312,7142,7454,3,2845,2847,10301,30437092,134281522,315,9987
