"Participation of Eligible Students"
3/17/2022

Year,Division,Level,Percent
"2019 - 2020","Highland County Public Schools",DIV,77.7
"2019 - 2020","Hopewell City Public Schools",DIV,71.5
"2019 - 2020","Isle of Wight County Public Schools",DIV,69.2
"2019 - 2020","King George County Public Schools",DIV,66
"2019 - 2020","King William County Public Schools",DIV,66.9
"2019 - 2020","King and Queen County Public Schools",DIV,74.1
"2019 - 2020","Lancaster County Public Schools",DIV,64.5
"2019 - 2020","Lee County Public Schools",DIV,68.9
"2019 - 2020","Lexington City Public Schools",DIV,57.6
"2019 - 2020","Loudoun County Public Schools",DIV,73.9
"2019 - 2020","Louisa County Public Schools",DIV,71
"2019 - 2020","Lunenburg County Public Schools",DIV,74.2
"2019 - 2020","Lynchburg City Public Schools",DIV,73.9
"2019 - 2020","Madison County Public Schools",DIV,74.6
"2019 - 2020","Manassas City Public Schools",DIV,67.1
"2019 - 2020","Manassas Park City Public Schools",DIV,76.2
"2019 - 2020","Martinsville City Public Schools",DIV,82.6
"2019 - 2020","Mathews County Public Schools",DIV,80.9
"2019 - 2020","Mecklenburg County Public Schools",DIV,71.9
"2019 - 2020","Middlesex County Public Schools",DIV,69.1
"2019 - 2020","Montgomery County Public Schools",DIV,71.7
"2019 - 2020","Nelson County Public Schools",DIV,71.7
"2019 - 2020","New Kent County Public Schools",DIV,56.6
"2019 - 2020","Newport News City Public Schools",DIV,75.1
"2019 - 2020","Norfolk City Public Schools",DIV,74.9
"2019 - 2020","Northampton County Public Schools",DIV,76.6
"2019 - 2020","Northumberland County Public Schools",DIV,64.1
"2019 - 2020","Norton City Public Schools",DIV,83.3
"2019 - 2020","Nottoway County Public Schools",DIV,65.6
"2019 - 2020","Orange County Public Schools",DIV,67.2
"2019 - 2020","Page County Public Schools",DIV,71.2
"2019 - 2020","Patrick County Public Schools",DIV,77
"2019 - 2020","Petersburg City Public Schools",DIV,61.4
"2019 - 2020","Pittsylvania County Public Schools",DIV,78.8
"2019 - 2020","Poquoson City Public Schools",DIV,51.2
"2019 - 2020","Portsmouth City Public Schools",DIV,67.4
"2019 - 2020","Powhatan County Public Schools",DIV,49.4
"2019 - 2020","Prince Edward County Public Schools",DIV,74.3
"2019 - 2020","Prince George County Public Schools",DIV,75.6
"2019 - 2020","Prince William County Public Schools",DIV,79.6
"2019 - 2020","Pulaski County Public Schools",DIV,75.4
"2019 - 2020","Radford City Public Schools",DIV,68.8
"2019 - 2020","Rappahannock County Public Schools",DIV,68.1
"2019 - 2020","Richmond City Public Schools",DIV,74.2
"2019 - 2020","Richmond County Public Schools",DIV,60.2
"2019 - 2020","Roanoke City Public Schools",DIV,76.9
"2019 - 2020","Roanoke County Public Schools",DIV,68.9
"2019 - 2020","Rockbridge County Public Schools",DIV,69.1
"2019 - 2020","Rockingham County Public Schools",DIV,71.2
"2019 - 2020","Russell County Public Schools",DIV,69.6
"2019 - 2020","Salem City Public Schools",DIV,73.5
"2019 - 2020","Scott County Public Schools",DIV,71.6
"2019 - 2020","Shenandoah County Public Schools",DIV,56.6
"2019 - 2020","Smyth County Public Schools",DIV,71.4
"2019 - 2020","Southampton County Public Schools",DIV,76.3
"2019 - 2020","Spotsylvania County Public Schools",DIV,72
"2019 - 2020","Stafford County Public Schools",DIV,72.1
"2019 - 2020","Staunton City Public Schools",DIV,78.5
"2019 - 2020","Suffolk City Public Schools",DIV,74.6
"2019 - 2020","Surry County Public Schools",DIV,63.9
"2019 - 2020","Sussex County Public Schools",DIV,85.4
"2019 - 2020","Tazewell County Public Schools",DIV,70.6
"2019 - 2020","Virginia Beach City Public Schools",DIV,70.2
"2019 - 2020","Warren County Public Schools",DIV,72.8
"2019 - 2020","Washington County Public Schools",DIV,72.7
"2019 - 2020","Waynesboro City Public Schools",DIV,71.6
"2019 - 2020","West Point Public Schools",DIV,77.1
"2019 - 2020","Westmoreland County Public Schools",DIV,64.9
"2019 - 2020","Williamsburg-James City County Public Schools",DIV,64.8
"2019 - 2020","Winchester City Public Schools",DIV,75.3
"2019 - 2020","Wise County Public Schools",DIV,73.4
"2019 - 2020","Wythe County Public Schools",DIV,67.9
"2019 - 2020","York County Public Schools",DIV,54.5
"2020 - 2021","Accomack County Public Schools",DIV,64.9
"2020 - 2021","Albemarle County Public Schools",DIV,70.3
"2020 - 2021","Alexandria City Public Schools",DIV,76.5
"2020 - 2021","Alleghany County Public Schools",DIV,63
"2020 - 2021","Amelia County Public Schools",DIV,61.9
"2020 - 2021","Amherst County Public Schools",DIV,73.4
"2020 - 2021","Appomattox County Public Schools",DIV,64
"2020 - 2021","Arlington County Public Schools",DIV,74.1
"2020 - 2021","Augusta County Public Schools",DIV,71.8
"2020 - 2021","Bath County Public Schools",DIV,78.4
"2020 - 2021","Bedford County Public Schools",DIV,66.1
"2020 - 2021","Bland County Public Schools",DIV,55.4
"2020 - 2021","Botetourt County Public Schools",DIV,67.4
"2020 - 2021","Bristol City Public Schools",DIV,74.5
"2020 - 2021","Brunswick County Public Schools",DIV,74
"2020 - 2021","Buchanan County Public Schools",DIV,77.1
"2020 - 2021","Buckingham County Public Schools",DIV,66.1
"2020 - 2021","Buena Vista City Public Schools",DIV,56.6
"2020 - 2021","Campbell County Public Schools",DIV,69.4
"2020 - 2021","Caroline County Public Schools",DIV,70.7
"2020 - 2021","Carroll County Public Schools",DIV,78.1
"2020 - 2021","Charles City County Public Schools",DIV,67
"2020 - 2021","Charlotte County Public Schools",DIV,64.1
"2020 - 2021","Charlottesville City Public Schools",DIV,64.2
"2020 - 2021","Chesapeake City Public Schools",DIV,58.4
"2020 - 2021","Chesterfield County Public Schools",DIV,67.1
"2020 - 2021","Clarke County Public Schools",DIV,63.9
"2020 - 2021","Colonial Beach Public Schools",DIV,65.3
"2020 - 2021","Colonial Heights City Public Schools",DIV,69.1
"2020 - 2021","Covington City Public Schools",DIV,55.9
"2020 - 2021","Craig County Public Schools",DIV,78.8
"2020 - 2021","Culpeper County Public Schools",DIV,71.7
"2020 - 2021","Cumberland County Public Schools",DIV,75.9
"2020 - 2021","Danville City Public Schools",DIV,81.3
"2020 - 2021","Dickenson County Public Schools",DIV,77.9
"2020 - 2021","Dinwiddie County Public Schools",DIV,59.9
"2020 - 2021","Essex County Public Schools",DIV,69.1
"2020 - 2021","Fairfax County Public Schools",DIV,72.8
"2020 - 2021","Falls Church City Public Schools",DIV,79.8
"2020 - 2021","Fauquier County Public Schools",DIV,71.3
"2020 - 2021","Floyd County Public Schools",DIV,71.5
"2020 - 2021","Fluvanna County Public Schools",DIV,65.9
"2020 - 2021","Franklin City Public Schools",DIV,67.9
"2020 - 2021","Franklin County Public Schools",DIV,72.2
"2020 - 2021","Frederick County Public Schools",DIV,69
"2020 - 2021","Fredericksburg City Public Schools",DIV,79.5
"2020 - 2021","Galax City Public Schools",DIV,68.6
"2020 - 2021","Giles County Public Schools",DIV,68.9
"2020 - 2021","Gloucester County Public Schools",DIV,72.2
"2020 - 2021","Goochland County Public Schools",DIV,66.1
"2020 - 2021","Grayson County Public Schools",DIV,77.1
"2020 - 2021","Greene County Public Schools",DIV,59.4
"2020 - 2021","Greensville County Public Schools",DIV,74.7
"2020 - 2021","Halifax County Public Schools",DIV,70.2
"2020 - 2021","Hampton City Public Schools",DIV,77.5
"2020 - 2021","Hanover County Public Schools",DIV,64.3
"2020 - 2021","Harrisonburg City Public Schools",DIV,78.2
"2020 - 2021","Henrico County Public Schools",DIV,74.7
"2020 - 2021","Henry County Public Schools",DIV,77.7
"2020 - 2021","Highland County Public Schools",DIV,77.7
"2020 - 2021","Hopewell City Public Schools",DIV,71.5
"2020 - 2021","Isle of Wight County Public Schools",DIV,69.2
"2020 - 2021","King George County Public Schools",DIV,66
"2020 - 2021","King William County Public Schools",DIV,66.9
"2020 - 2021","King and Queen County Public Schools",DIV,74.1
"2020 - 2021","Lancaster County Public Schools",DIV,64.5
"2020 - 2021","Lee County Public Schools",DIV,68.9
"2020 - 2021","Lexington City Public Schools",DIV,57.6
"2020 - 2021","Loudoun County Public Schools",DIV,73.9
"2020 - 2021","Louisa County Public Schools",DIV,71
"2020 - 2021","Lunenburg County Public Schools",DIV,74.2
"2020 - 2021","Lynchburg City Public Schools",DIV,73.9
"2020 - 2021","Madison County Public Schools",DIV,74.6
"2020 - 2021","Manassas City Public Schools",DIV,67.1
"2020 - 2021","Manassas Park City Public Schools",DIV,76.2
"2020 - 2021","Martinsville City Public Schools",DIV,82.6
"2020 - 2021","Mathews County Public Schools",DIV,80.9
"2020 - 2021","Mecklenburg County Public Schools",DIV,71.9
"2020 - 2021","Middlesex County Public Schools",DIV,69.1
"2020 - 2021","Montgomery County Public Schools",DIV,71.7
"2020 - 2021","Nelson County Public Schools",DIV,71.7
"2020 - 2021","New Kent County Public Schools",DIV,56.6
"2020 - 2021","Newport News City Public Schools",DIV,75.1
"2020 - 2021","Norfolk City Public Schools",DIV,74.9
"2020 - 2021","Northampton County Public Schools",DIV,76.6
"2020 - 2021","Northumberland County Public Schools",DIV,64.1
"2020 - 2021","Norton City Public Schools",DIV,83.3
"2020 - 2021","Nottoway County Public Schools",DIV,65.6
"2020 - 2021","Orange County Public Schools",DIV,67.2
"2020 - 2021","Page County Public Schools",DIV,71.2
"2020 - 2021","Patrick County Public Schools",DIV,77
"2020 - 2021","Petersburg City Public Schools",DIV,61.4
"2020 - 2021","Pittsylvania County Public Schools",DIV,78.8
"2020 - 2021","Poquoson City Public Schools",DIV,51.2
"2020 - 2021","Portsmouth City Public Schools",DIV,67.4
"2020 - 2021","Powhatan County Public Schools",DIV,49.4
"2020 - 2021","Prince Edward County Public Schools",DIV,74.3
"2020 - 2021","Prince George County Public Schools",DIV,75.6
"2020 - 2021","Prince William County Public Schools",DIV,79.6
"2020 - 2021","Pulaski County Public Schools",DIV,75.4
"2020 - 2021","Radford City Public Schools",DIV,68.8
"2020 - 2021","Rappahannock County Public Schools",DIV,68.1
"2020 - 2021","Richmond City Public Schools",DIV,74.2
"2020 - 2021","Richmond County Public Schools",DIV,60.2
"2020 - 2021","Roanoke City Public Schools",DIV,76.9
"2020 - 2021","Roanoke County Public Schools",DIV,68.9
"2020 - 2021","Rockbridge County Public Schools",DIV,69.1
"2020 - 2021","Rockingham County Public Schools",DIV,71.2
"2020 - 2021","Russell County Public Schools",DIV,69.6
"2020 - 2021","Salem City Public Schools",DIV,73.5
"2020 - 2021","Scott County Public Schools",DIV,71.6
"2020 - 2021","Shenandoah County Public Schools",DIV,56.6
"2020 - 2021","Smyth County Public Schools",DIV,71.4
"2020 - 2021","Southampton County Public Schools",DIV,76.3
"2020 - 2021","Spotsylvania County Public Schools",DIV,72
"2020 - 2021","Stafford County Public Schools",DIV,72.1
"2020 - 2021","Staunton City Public Schools",DIV,78.5
"2020 - 2021","Suffolk City Public Schools",DIV,74.6
"2020 - 2021","Surry County Public Schools",DIV,63.9
"2020 - 2021","Sussex County Public Schools",DIV,85.4
"2020 - 2021","Tazewell County Public Schools",DIV,70.6
"2020 - 2021","Virginia Beach City Public Schools",DIV,70.2
"2020 - 2021","Warren County Public Schools",DIV,72.8
"2020 - 2021","Washington County Public Schools",DIV,72.7
"2020 - 2021","Waynesboro City Public Schools",DIV,71.6
"2020 - 2021","West Point Public Schools",DIV,77.1
"2020 - 2021","Westmoreland County Public Schools",DIV,64.9
"2020 - 2021","Williamsburg-James City County Public Schools",DIV,64.8
"2020 - 2021","Winchester City Public Schools",DIV,75.3
"2020 - 2021","Wise County Public Schools",DIV,73.4
"2020 - 2021","Wythe County Public Schools",DIV,67.9
"2020 - 2021","York County Public Schools",DIV,54.5
