"Teacher Educational Attainment"
3/17/2022

Year,Level,Division,"Year Percent",Type
"2018 - 2019",DIV,"Manassas Park City Public Schools",57,"Master's Degree"
"2018 - 2019",DIV,"Manassas Park City Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Martinsville City Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Martinsville City Public Schools",54,"Bachelor's Degree"
"2018 - 2019",DIV,"Martinsville City Public Schools",43,"Master's Degree"
"2018 - 2019",DIV,"Mathews County Public Schools",50,"Master's Degree"
"2018 - 2019",DIV,"Mathews County Public Schools",0,"Doctoral Degree"
"2018 - 2019",DIV,"Mathews County Public Schools",41,"Bachelor's Degree"
"2018 - 2019",DIV,"Mecklenburg County Public Schools",42,"Master's Degree"
"2018 - 2019",DIV,"Mecklenburg County Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Mecklenburg County Public Schools",52,"Bachelor's Degree"
"2018 - 2019",DIV,"Middlesex County Public Schools",43,"Master's Degree"
"2018 - 2019",DIV,"Middlesex County Public Schools",0,"Doctoral Degree"
"2018 - 2019",DIV,"Middlesex County Public Schools",53,"Bachelor's Degree"
"2018 - 2019",DIV,"Montgomery County Public Schools",59,"Master's Degree"
"2018 - 2019",DIV,"Montgomery County Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Montgomery County Public Schools",37,"Bachelor's Degree"
"2018 - 2019",DIV,"Nelson County Public Schools",37,"Bachelor's Degree"
"2018 - 2019",DIV,"Nelson County Public Schools",58,"Master's Degree"
"2018 - 2019",DIV,"Nelson County Public Schools",2,"Doctoral Degree"
"2018 - 2019",DIV,"New Kent County Public Schools",45,"Bachelor's Degree"
"2018 - 2019",DIV,"New Kent County Public Schools",53,"Master's Degree"
"2018 - 2019",DIV,"New Kent County Public Schools",0,"Doctoral Degree"
"2018 - 2019",DIV,"Newport News City Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Newport News City Public Schools",37,"Bachelor's Degree"
"2018 - 2019",DIV,"Newport News City Public Schools",55,"Master's Degree"
"2018 - 2019",DIV,"Norfolk City Public Schools",2,"Doctoral Degree"
"2018 - 2019",DIV,"Norfolk City Public Schools",37,"Bachelor's Degree"
"2018 - 2019",DIV,"Norfolk City Public Schools",55,"Master's Degree"
"2018 - 2019",DIV,"Northampton County Public Schools",63,"Bachelor's Degree"
"2018 - 2019",DIV,"Northampton County Public Schools",34,"Master's Degree"
"2018 - 2019",DIV,"Northampton County Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Northumberland County Public Schools",53,"Bachelor's Degree"
"2018 - 2019",DIV,"Northumberland County Public Schools",43,"Master's Degree"
"2018 - 2019",DIV,"Northumberland County Public Schools",2,"Doctoral Degree"
"2018 - 2019",DIV,"Norton City Public Schools",0,"Doctoral Degree"
"2018 - 2019",DIV,"Norton City Public Schools",53,"Bachelor's Degree"
"2018 - 2019",DIV,"Norton City Public Schools",39,"Master's Degree"
"2018 - 2019",DIV,"Nottoway County Public Schools",47,"Bachelor's Degree"
"2018 - 2019",DIV,"Nottoway County Public Schools",51,"Master's Degree"
"2018 - 2019",DIV,"Nottoway County Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Orange County Public Schools",47,"Bachelor's Degree"
"2018 - 2019",DIV,"Orange County Public Schools",44,"Master's Degree"
"2018 - 2019",DIV,"Orange County Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Page County Public Schools",51,"Bachelor's Degree"
"2018 - 2019",DIV,"Page County Public Schools",43,"Master's Degree"
"2018 - 2019",DIV,"Page County Public Schools",1,"Doctoral Degree"
"2018 - 2019",DIV,"Patrick County Public Schools",58,"Bachelor's Degree"
"2018 - 2019",DIV,"Patrick County Public Schools",39,"Master's Degree"
"2018 - 2019",DIV,"Patrick County Public Schools",0,"Doctoral Degree"
"2018 - 2019",DIV,"Petersburg City Public Schools",2,"Doctoral Degree"
"2018 - 2019",DIV,"Petersburg City Public Schools",51,"Bachelor's Degree"
