School Name,State Name [Public School] Latest available year,School Name [Public School] 2018-19,School ID - NCES Assigned [Public School] Latest available year,County Name [Public School] 2018-19,Locale [Public School] 2018-19,National School Lunch Program [Public School] 2018-19,Pupil/Teacher Ratio [Public School] 2018-19
MARSHALL GOVERNOR'S STEM ACADEMY,VIRGINIA,MARSHALL GOVERNOR'S STEM ACADEMY,510126002993,Fairfax County,21-Suburb: Large,No,0.00
MARSHALL HIGH,Virginia,MARSHALL HIGH,510126000535,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,16.61
MARSHALL HIGH SCHOOL ACADEMY,Virginia,MARSHALL HIGH SCHOOL ACADEMY,510126002947,Fairfax County,21-Suburb: Large,No,†
MARSHALL ROAD ELEM,Virginia,MARSHALL ROAD ELEM,510126000536,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,14.04
MASON CREST ELEM,Virginia,MASON CREST ELEM,510126002873,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,11.57
MCLEAN HIGH,Virginia,MCLEAN HIGH,510126000538,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,16.53
MCNAIR ELEM,Virginia,MCNAIR ELEM,510126002272,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,17.41
MOSBY WOODS ELEM,Virginia,MOSBY WOODS ELEM,510126000539,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,16.34
MOUNT EAGLE ELEM,Virginia,MOUNT EAGLE ELEM,510126000540,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,11.34
MOUNT VERNON HIGH,Virginia,MOUNT VERNON HIGH,510126000542,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,11.95
MOUNT VERNON WOODS ELEM,Virginia,MOUNT VERNON WOODS ELEM,510126000543,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,12.45
MOUNTAIN VIEW HIGH,Virginia,MOUNTAIN VIEW HIGH,510126001099,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,9.05
MT. DANIEL ELEMENTARY,Virginia,MT. DANIEL ELEMENTARY,510129002204,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,15.86
NAVY ELEM,Virginia,NAVY ELEM,510126000544,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,16.50
NEWINGTON FOREST ELEM,Virginia,NEWINGTON FOREST ELEM,510126001993,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,16.40
NORTH SPRINGFIELD ELEM,Virginia,NORTH SPRINGFIELD ELEM,510126000546,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,11.91
NORTHERN VA. TR. CTR. E.P,Virginia,NORTHERN VA. TR. CTR. E.P,510005102300,Fairfax County,21-Suburb: Large,No,†
OAK HILL ELEM,Virginia,OAK HILL ELEM,510126001994,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,16.01
OAK VIEW ELEM,Virginia,OAK VIEW ELEM,510126000548,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,16.22
OAKTON ELEM,Virginia,OAKTON ELEM,510126000549,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,16.08
OAKTON HIGH,Virginia,OAKTON HIGH,510126000550,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,17.29
OLDE CREEK ELEM,Virginia,OLDE CREEK ELEM,510126000551,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,10.19
ORANGE HUNT ELEM,Virginia,ORANGE HUNT ELEM,510126000552,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,17.47
PARKLAWN ELEM,Virginia,PARKLAWN ELEM,510126000553,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,12.33
PIMMIT EC RESOURCE CTR,Virginia,PIMMIT EC RESOURCE CTR,510126002874,Fairfax County,21-Suburb: Large,No,5.43
PINE SPRING ELEM,Virginia,PINE SPRING ELEM,510126000556,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,13.19
PLUM CENTER FOR LIFELONG LEARNING,Virginia,PLUM CENTER FOR LIFELONG LEARNING,510126002827,Fairfax County,21-Suburb: Large,No,†
POE MIDDLE,Virginia,POE MIDDLE,510126000557,Fairfax County,21-Suburb: Large,Yes participating without using any Provision or the CEO,11.01
