ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): VIRGINIA

Agency Name,State Name [District] Latest available year,State Name [District] 2018-19,County Number [District] 2018-19,County Name [District] 2018-19,Total Number Operational Schools [Public School] 2018-19,Total Number Operational Charter Schools [Public School] 2018-19,Agency Type [District] 2018-19,School District Level Code (SCHLEV) [District Finance] 2018-19,Locale [District] 2018-19,Prekindergarten offered [District] 2018-19,Kindergarten offered [District] 2018-19,Agency Level (SY 2017-18 onward) [District] 2018-19,Total Students All Grades (Excludes AE) [District] 2018-19,Individualized Education Program Students [District] 2018-19,Limited English Proficient (LEP) / English Language Learners (ELL) [District] 2018-19,Full-Time Equivalent (FTE) Teachers [District] 2018-19,Pupil/Teacher Ratio [District] 2018-19,Total Current Expenditures - Instruction (TCURINST) per Pupil (V33) [District Finance] 2018-19,Total Current Expenditures - Support Services (TCURSSVC) per Pupil (V33) [District Finance] 2018-19,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2018-19,Long Term Debt - Outstanding Beginning of FY (_19H) [District Finance] 2018-19,Short Term Debt - Outstanding Beginning of FY (_61V) [District Finance] 2018-19
FAIRFAX CO PBLC SCHS,Virginia,VIRGINIA,51059,Fairfax County,222,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",21-Suburb: Large,1-Yes,1-Yes,Other,187797,27177,35651,13000.42,14.45,9798,5338,17276,1460977000,="0"
FAIRFAX-FALLS CHURCH COMM SVCS BD,Virginia,VIRGINIA,51059,Fairfax County,="0",="0",5-State agency providing elementary and/or secondary level instruction,†,21-Suburb: Large,2-No,2-No,Not Applicable,–,†,†,†,–,†,†,†,†,†
FALLS CHURCH CITY PBLC SCHS,Virginia,VIRGINIA,51610,Falls Church city,5,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",21-Suburb: Large,1-Yes,1-Yes,Other,2620,348,161,181.10,14.47,10840,8040,21173,41413000,="0"
FAUQUIER CO PBLC SCHS,Virginia,VIRGINIA,51061,Fauquier County,20,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",21-Suburb: Large,1-Yes,1-Yes,Other,11186,1645,686,853.72,13.10,8149,4453,14213,70489000,="0"
FLOYD CO PBLC SCHS,Virginia,VIRGINIA,51063,Floyd County,5,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",42-Rural: Distant,1-Yes,1-Yes,Other,1966,265,35,123.21,15.96,6597,4120,11616,937000,="0"
FLUVANNA CO PBLC SCHS,Virginia,VIRGINIA,51065,Fluvanna County,5,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",42-Rural: Distant,1-Yes,1-Yes,Other,3590,441,56,233.50,15.37,6625,4031,12546,78238000,="0"
FRANKLIN CITY PBLC SCHS,Virginia,VIRGINIA,51620,Franklin city,3,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",32-Town: Distant,1-Yes,1-Yes,Other,1075,132,13,85.31,12.60,7690,5132,14881,="0",="0"
FRANKLIN CO PBLC SCHS,Virginia,VIRGINIA,51067,Franklin County,16,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",32-Town: Distant,1-Yes,1-Yes,Other,7062,1190,141,541.18,13.05,7221,4097,12528,7529000,="0"
FREDERICK CO PBLC SCHS,Virginia,VIRGINIA,51840,Winchester city,18,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",41-Rural: Fringe,1-Yes,1-Yes,Other,13627,1793,714,963.23,14.15,7452,4809,14324,109263000,="0"
FREDERICKSBURG CITY PBLC SCHS,Virginia,VIRGINIA,51630,Fredericksburg city,5,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",22-Suburb: Mid-size,1-Yes,1-Yes,Other,3710,431,466,253.89,14.61,8505,4068,13886,2780000,="0"
GALAX CITY PBLC SCHS,Virginia,VIRGINIA,51640,Galax city,3,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",33-Town: Remote,1-Yes,1-Yes,Other,1321,173,169,101.01,13.08,6756,3833,11782,262000,="0"
GILES CO PBLC SCHS,Virginia,VIRGINIA,51071,Giles County,6,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",32-Town: Distant,1-Yes,1-Yes,Other,2445,408,5,175.83,13.91,6764,3549,11402,13928000,="0"
GLOUCESTER CO PBLC SCHS,Virginia,VIRGINIA,51073,Gloucester County,9,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",41-Rural: Fringe,1-Yes,1-Yes,Other,5408,718,57,369.00,14.66,6752,4183,12224,29711000,="0"
GOOCHLAND CO PBLC SCHS,Virginia,VIRGINIA,51075,Goochland County,5,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",42-Rural: Distant,1-Yes,1-Yes,Other,2676,361,54,198.77,13.46,7325,4500,12387,="0",="0"
GOV SCH GLOBAL ECONOMICS/TECH,Virginia,VIRGINIA,51037,Charlotte County,1,="0",9-Specialized public school district,†,43-Rural: Remote,2-No,2-No,Ungraded,="0",†,†,†,–,†,†,†,–,–
GOVERNOR'S SCHOOL FOR THE ARTS,Virginia,VIRGINIA,51710,Norfolk city,1,="0",9-Specialized public school district,†,12-City: Mid-size,2-No,2-No,Ungraded,="0",†,†,†,–,†,†,†,–,–
GRAYSON CO PBLC SCHS,Virginia,VIRGINIA,51077,Grayson County,7,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",43-Rural: Remote,1-Yes,1-Yes,Other,1542,272,16,118.53,13.01,7291,4652,13651,19998000,="0"
GREENE CO PBLC SCHS,Virginia,VIRGINIA,51079,Greene County,7,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",31-Town: Fringe,1-Yes,1-Yes,Other,3001,437,108,191.59,15.66,7335,3994,19221,3007000,="0"
GREENSVILLE CO PBLC SCHS,Virginia,VIRGINIA,51595,Emporia city,4,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",32-Town: Distant,1-Yes,1-Yes,Other,2243,328,42,187.16,11.98,7532,4104,12670,8999000,="0"
HALIFAX CO PBLC SCHS,Virginia,VIRGINIA,51083,Halifax County,11,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",33-Town: Remote,1-Yes,1-Yes,Other,4960,921,49,438.36,11.31,6745,3939,11480,="0",="0"
HAMPTON CITY PBLC SCHS,Virginia,VIRGINIA,51650,Hampton city,33,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",12-City: Mid-size,1-Yes,1-Yes,Other,19589,2668,319,1291.00,15.17,6435,4505,12112,111320000,="0"
HANOVER CO PBLC SCHS,Virginia,VIRGINIA,51085,Hanover County,25,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",21-Suburb: Large,1-Yes,1-Yes,Other,17726,2578,254,1205.95,14.70,6961,3145,11593,69090000,="0"
HARRISONBURG CITY PBLC SCHS,Virginia,VIRGINIA,51660,Harrisonburg city,10,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",13-City: Small,1-Yes,1-Yes,Other,6437,699,2025,467.52,13.77,7439,4885,14653,="0",="0"
HENRICO CO PBLC SCHS,Virginia,VIRGINIA,51087,Henrico County,81,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",21-Suburb: Large,1-Yes,1-Yes,Other,51523,6796,3312,2997.18,17.19,6176,3696,12185,293677000,="0"
HENRY CO PBLC SCHS,Virginia,VIRGINIA,51089,Henry County,13,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",41-Rural: Fringe,1-Yes,1-Yes,Other,7455,1123,485,479.01,15.56,6165,3395,11386,29535000,="0"
HIGHLAND CO PBLC SCHS,Virginia,VIRGINIA,51091,Highland County,2,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",43-Rural: Remote,1-Yes,1-Yes,Other,205,35,3,24.51,8.36,11551,7385,20922,="0",="0"
HOPEWELL CITY PBLC SCHS,Virginia,VIRGINIA,51670,Hopewell city,7,="0",1-Regular local school district that is NOT a component of a supervisory union,="03-Elementary/secondary school system",21-Suburb: Large,1-Yes,1-Yes,Other,4372,684,153,283.53,15.42,7716,3506,12683,21335000,="0"
INDEPENDENCE NONTRADITIONAL SCHOOL - MIDDLE,Virginia,VIRGINIA,51153,Prince William County,1,="0",9-Specialized public school district,†,21-Suburb: Large,2-No,2-No,Ungraded,="0",†,†,†,–,†,†,†,–,–
